CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2015,441,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2016,566,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2017,792,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2018,1057,
IRN,Iran,Inflows of foreign population by nationality,Total,France,2019,1019,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2000,7753,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2001,6740,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2002,6105,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2003,5017,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2004,4219,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2005,3377,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2006,2851,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2007,2632,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2008,3257,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2009,3951,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2010,5695,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2011,7175,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2012,8215,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2013,8250,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2014,7122,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2015,17187,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2016,23009,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2017,13676,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2018,19400,
IRN,Iran,Inflows of foreign population by nationality,Total,Germany,2019,16183,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2001,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2002,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2003,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2004,0,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2005,188,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2006,433,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2007,232,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2008,476,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2009,454,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2010,403,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2011,433,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2012,351,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2013,279,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2014,349,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2015,492,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2016,623,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2017,1009,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2018,771,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,2019,467,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2000,1,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2001,2,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2002,1,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2003,6,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2004,2,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2005,2,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2006,7,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2007,8,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2008,5,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2009,3,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2010,6,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2011,10,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2012,11,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2013,7,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2014,10,
