CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value
IRN,Iran,Outflows of foreign population by nationality,Women,Belgium,2010,53
IRN,Iran,Outflows of foreign population by nationality,Women,Belgium,2011,82
IRN,Iran,Outflows of foreign population by nationality,Women,Belgium,2012,105
IRN,Iran,Outflows of foreign population by nationality,Women,Belgium,2013,96
IRN,Iran,Outflows of foreign population by nationality,Women,Belgium,2014,105
IRN,Iran,Outflows of foreign population by nationality,Women,Belgium,2015,81
IRN,Iran,Outflows of foreign population by nationality,Women,Belgium,2016,49
IRN,Iran,Outflows of foreign population by nationality,Women,Belgium,2017,60
IRN,Iran,Outflows of foreign population by nationality,Women,Belgium,2018,41
IRN,Iran,Outflows of foreign population by nationality,Women,Belgium,2019,51
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2008,242
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2009,277
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2010,350
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2011,374
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2012,644
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2013,460
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2014,338
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2015,644
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2016,437
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2017,447
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2018,750
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,2019,1093
IRN,Iran,Outflows of foreign population by nationality,Total,Belgium,2010,119
IRN,Iran,Outflows of foreign population by nationality,Total,Belgium,2011,173
IRN,Iran,Outflows of foreign population by nationality,Total,Belgium,2012,238
IRN,Iran,Outflows of foreign population by nationality,Total,Belgium,2013,272
IRN,Iran,Outflows of foreign population by nationality,Total,Belgium,2014,283
IRN,Iran,Outflows of foreign population by nationality,Total,Belgium,2015,210
IRN,Iran,Outflows of foreign population by nationality,Total,Belgium,2016,123
IRN,Iran,Outflows of foreign population by nationality,Total,Belgium,2017,152
IRN,Iran,Outflows of foreign population by nationality,Total,Belgium,2018,116
IRN,Iran,Outflows of foreign population by nationality,Total,Belgium,2019,113
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2000,2738
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2001,2806
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2002,3817
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2003,3033
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2004,3200
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2005,2947
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2006,3710
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2007,3493
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2008,3303
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2009,3307
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2010,3645
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2011,3723
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2012,3746
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2013,5925
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2014,8494
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2015,5785
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2016,3345
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2017,2510
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2018,2775
IRN,Iran,Inflows of foreign population by nationality,Women,Canada,2019,3130
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2000,5617
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2001,5746
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2002,7889
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2003,5918
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2004,6348
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2005,5837
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2006,7480
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2007,6974
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2008,6474
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2009,6580
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2010,7477
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2011,7479
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2012,7525
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2013,11288
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2014,16772
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2015,11668
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2016,6485
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2017,4735
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2018,5510
IRN,Iran,Inflows of foreign population by nationality,Total,Canada,2019,6055
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2003,5
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2004,6
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2005,7
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2006,11
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2007,23
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2008,21
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2009,26
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2010,37
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2011,14
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2012,12
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2013,25
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2014,34
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2015,30
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2016,42
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2017,66
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2018,90
IRN,Iran,Inflows of foreign population by nationality,Women,Czech Republic,2019,118
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2003,5
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2004,3
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2005,5
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2006,8
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2007,6
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2012,4
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2013,13
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2014,4
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2015,12
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2016,15
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2017,16
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2018,21
IRN,Iran,Outflows of foreign population by nationality,Women,Czech Republic,2019,33
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2003,25
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2004,16
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2005,26
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2006,38
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2007,68
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2008,54
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2009,64
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2010,79
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2011,27
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2012,35
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2013,58
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2014,63
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2015,66
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2016,73
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2017,127
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2018,189
IRN,Iran,Inflows of foreign population by nationality,Total,Czech Republic,2019,241
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2003,11
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2004,14
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2005,12
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2006,24
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2007,19
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2012,11
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2013,37
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2014,20
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2015,29
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2016,29
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2017,31
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2018,50
IRN,Iran,Outflows of foreign population by nationality,Total,Czech Republic,2019,82
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2007,65
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2008,85
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2009,110
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2010,176
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2011,223
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2012,249
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2013,418
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2014,428
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2015,0
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2016,321
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2017,486
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2018,292
IRN,Iran,Inflows of foreign population by nationality,Women,Denmark,2019,245
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2006,31
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2007,41
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2008,33
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2009,23
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2010,35
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2011,55
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2012,43
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2013,53
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2014,91
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2015,131
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2016,164
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2017,155
IRN,Iran,Outflows of foreign population by nationality,Women,Denmark,2019,181
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2000,401
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2001,348
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2002,463
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2003,241
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2004,193
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2005,197
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2006,281
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2007,130
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2008,210
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2009,296
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2010,461
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2011,567
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2012,592
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2013,931
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2014,939
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2015,0
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2016,819
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2017,1273
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2018,624
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,2019,543
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2000,72
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2001,72
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2002,46
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2003,67
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2004,82
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2005,52
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2006,45
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2007,66
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2008,70
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2009,48
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2010,85
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2011,108
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2012,107
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2013,134
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2014,221
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2015,304
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2016,404
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2017,381
IRN,Iran,Outflows of foreign population by nationality,Total,Denmark,2019,411
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2000,65
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2001,124
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2002,94
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2003,129
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2004,106
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2005,103
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2006,112
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2007,88
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2008,108
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2009,60
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2010,79
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2011,104
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2012,136
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2013,170
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2014,193
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2015,133
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2016,171
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2017,156
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2018,135
IRN,Iran,Inflows of foreign population by nationality,Women,Finland,2019,204
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2000,12
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2001,2
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2002,0
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2003,2
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2004,9
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2005,7
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2006,7
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2007,7
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2008,16
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2009,10
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2010,2
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2011,12
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2012,17
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2013,15
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2014,19
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2015,9
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2016,21
IRN,Iran,Outflows of foreign population by nationality,Women,Finland,2017,21
