Country of birth/nationality,Variable,Gender,Country,Year,Value
Iran,Inflows of foreign population by nationality,Women,France,2007,251
Iran,Inflows of foreign population by nationality,Women,France,2008,193
Iran,Inflows of foreign population by nationality,Women,France,2009,267
Iran,Inflows of foreign population by nationality,Women,France,2010,314
Iran,Inflows of foreign population by nationality,Women,France,2011,270
Iran,Inflows of foreign population by nationality,Women,France,2012,297
Iran,Inflows of foreign population by nationality,Women,France,2013,310
Iran,Inflows of foreign population by nationality,Women,France,2014,262
Iran,Inflows of foreign population by nationality,Women,France,2015,241
Iran,Inflows of foreign population by nationality,Women,France,2016,325
Iran,Inflows of foreign population by nationality,Women,France,2017,419
Iran,Inflows of foreign population by nationality,Women,France,2018,537
Iran,Inflows of foreign population by nationality,Total,France,2000,488
Iran,Inflows of foreign population by nationality,Total,France,2001,502
Iran,Inflows of foreign population by nationality,Total,France,2002,510
Iran,Inflows of foreign population by nationality,Total,France,2003,503
Iran,Inflows of foreign population by nationality,Total,France,2004,479
Iran,Inflows of foreign population by nationality,Total,France,2005,379
Iran,Inflows of foreign population by nationality,Total,France,2006,529
Iran,Inflows of foreign population by nationality,Total,France,2007,461
Iran,Inflows of foreign population by nationality,Total,France,2008,405
Iran,Inflows of foreign population by nationality,Total,France,2009,478
Iran,Inflows of foreign population by nationality,Total,France,2010,599
Iran,Inflows of foreign population by nationality,Total,France,2011,542
Iran,Inflows of foreign population by nationality,Total,France,2012,567
Iran,Inflows of foreign population by nationality,Total,France,2013,576
Iran,Inflows of foreign population by nationality,Total,France,2014,404
Iran,Inflows of foreign population by nationality,Total,France,2015,441
Iran,Inflows of foreign population by nationality,Total,France,2016,566
Iran,Inflows of foreign population by nationality,Total,France,2017,792
Iran,Inflows of foreign population by nationality,Total,France,2018,1057
Iran,Inflows of foreign population by nationality,Total,France,2019,1019
Iran,Inflows of foreign population by nationality,Women,Germany,2000,3092
Iran,Inflows of foreign population by nationality,Women,Germany,2001,2704
Iran,Inflows of foreign population by nationality,Women,Germany,2002,2656
Iran,Inflows of foreign population by nationality,Women,Germany,2003,2164
Iran,Inflows of foreign population by nationality,Women,Germany,2004,1815
Iran,Inflows of foreign population by nationality,Women,Germany,2005,1518
Iran,Inflows of foreign population by nationality,Women,Germany,2006,1353
Iran,Inflows of foreign population by nationality,Women,Germany,2007,1296
Iran,Inflows of foreign population by nationality,Women,Germany,2008,1433
