CO2,Country of birth/nationality,Variable,Gender,Country,Value,Year,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,744,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,737,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,726,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,722,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,698,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,695,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,689,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,644,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,644,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,636,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Australia,632,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,624,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,624,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,623,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,616,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,611,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,606,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,599,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,592,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,584,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,582,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,576,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,575,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,567,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,567,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,566,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,549,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,548,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,545,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,543,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,542,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,537,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,529,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,524,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,522,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,522,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,510,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,503,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,502,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,501,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,492,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,490,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,488,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,485,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,485,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,483,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,479,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,478,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,476,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,475,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,475,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,467,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,467,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,466,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,463,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,461,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,461,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,460,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,456,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,454,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,452,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,450,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,450,2009,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,449,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,448,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,447,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,441,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,441,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,440,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,440,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,439,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,439,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,437,2016,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,437,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,433,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,433,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,428,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,427,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,424,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,422,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,420,2019,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,420,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Israel,420,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,419,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,414,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,414,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,412,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,410,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,408,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,405,2008,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,404,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,403,2013,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,403,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,401,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,400,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,399,2015,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,395,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,394,2004,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,392,2000,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,389,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Switzerland,386,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,384,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,384,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,381,2002,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,France,379,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,377,2007,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,374,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,370,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Netherlands,363,2006,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Spain,363,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,360,2011,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,359,2003,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,351,2012,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Korea,351,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,350,2010,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Hungary,349,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Denmark,348,2001,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,347,2017,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,New Zealand,340,2018,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Belgium,338,2014,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,338,2005,,,,,,,,,,,,,
IRN,Iran,Inflows of foreign population by nationality,Total,Finland,337,2017,,,,,,,,,,,,,
